{'bit_size': 24, 'number': 7241477, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2689, 'pollard_time': 0.0, 'lenstra_factor': {2689, 2693}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 9970271, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2803, 'pollard_time': 0.0, 'lenstra_factor': {2803, 3557}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7134983, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2243, 'pollard_time': 0.0, 'lenstra_factor': {2243, 3181}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 9280213, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2609, 'pollard_time': 0.0, 'lenstra_factor': {2609, 3557}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 220800037, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 14639, 'pollard_time': 0.0, 'lenstra_factor': {15083, 14639}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 164014223, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 15287, 'pollard_time': 0.0, 'lenstra_factor': {10729, 15287}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 128184139, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 9349, 'pollard_time': 0.0, 'lenstra_factor': {9349, 13711}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 172261781, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 13187, 'pollard_time': 0.0, 'lenstra_factor': {13187, 13063}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 181852469, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 12113, 'pollard_time': 0.0, 'lenstra_factor': {12113, 15013}, 'lenstra_time': 0.0010035037994384766}
{'bit_size': 28, 'number': 181568437, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 14879, 'pollard_time': 0.0, 'lenstra_factor': {12203, 14879}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 28, 'number': 184325153, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 12263, 'pollard_time': 0.0, 'lenstra_factor': {12263, 15031}, 'lenstra_time': 0.0011758804321289062}
{'bit_size': 28, 'number': 103681979, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 8737, 'pollard_time': 0.0, 'lenstra_factor': {8737, 11867}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 173812231, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 13109, 'pollard_time': 0.0010006427764892578, 'lenstra_factor': {13259, 13109}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 86834911, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 8707, 'pollard_time': 0.0010001659393310547, 'lenstra_factor': {8707, 9973}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 122553163, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 11489, 'pollard_time': 0.0009987354278564453, 'lenstra_factor': {11489, 10667}, 'lenstra_time': 0.0}
