{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2509633416, 'order': 2703258600, 'index_calculus_result': 2517209447, 'index_calculus_time': 2.490259885787964, 'index_calculus_mem_mb': 0.6293106079101562}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1645217586, 'order': 2703258600, 'index_calculus_result': 1784546269, 'index_calculus_time': 2.283625841140747, 'index_calculus_mem_mb': 0.6187400817871094}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 677997206, 'order': 2703258600, 'index_calculus_result': 2561385961, 'index_calculus_time': 2.3080852031707764, 'index_calculus_mem_mb': 0.6523513793945312}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1905717891, 'order': 2703258600, 'index_calculus_result': 1613891854, 'index_calculus_time': 1.8329493999481201, 'index_calculus_mem_mb': 0.6090278625488281}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 387659726, 'order': 2703258600, 'index_calculus_result': 1116390756, 'index_calculus_time': 1.7809603214263916, 'index_calculus_mem_mb': 0.624786376953125}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 684285539, 'order': 2703258600, 'index_calculus_result': 370056324, 'index_calculus_time': 2.56964373588562, 'index_calculus_mem_mb': 0.6338996887207031}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 751526962, 'order': 2703258600, 'index_calculus_result': 1702982632, 'index_calculus_time': 2.375365972518921, 'index_calculus_mem_mb': 0.6310577392578125}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 458555593, 'order': 2703258600, 'index_calculus_result': 1529720177, 'index_calculus_time': 2.276616334915161, 'index_calculus_mem_mb': 0.6378631591796875}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1556805708, 'order': 2703258600, 'index_calculus_result': 2159547693, 'index_calculus_time': 2.368910312652588, 'index_calculus_mem_mb': 0.6633720397949219}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 292147803, 'order': 2703258600, 'index_calculus_result': 1983892958, 'index_calculus_time': 2.701792001724243, 'index_calculus_mem_mb': 0.6615753173828125}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 425745586, 'order': 2703258600, 'index_calculus_result': 948416801, 'index_calculus_time': 2.0720274448394775, 'index_calculus_mem_mb': 0.6116447448730469}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2318617328, 'order': 2703258600, 'index_calculus_result': 2108858554, 'index_calculus_time': 1.6555681228637695, 'index_calculus_mem_mb': 0.5888023376464844}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1342235564, 'order': 2703258600, 'index_calculus_result': 2096704968, 'index_calculus_time': 2.7165327072143555, 'index_calculus_mem_mb': 0.6397666931152344}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1341402692, 'order': 2703258600, 'index_calculus_result': 2634387941, 'index_calculus_time': 2.388780117034912, 'index_calculus_mem_mb': 0.6310348510742188}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 955867687, 'order': 2703258600, 'index_calculus_result': 1934016841, 'index_calculus_time': 2.4852631092071533, 'index_calculus_mem_mb': 0.6295547485351562}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2536109872, 'order': 2703258600, 'index_calculus_result': 1457193306, 'index_calculus_time': 1.8892405033111572, 'index_calculus_mem_mb': 0.6096878051757812}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1387417845, 'order': 2703258600, 'index_calculus_result': 2068729389, 'index_calculus_time': 2.445073127746582, 'index_calculus_mem_mb': 0.6313400268554688}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2312703658, 'order': 2703258600, 'index_calculus_result': 333485720, 'index_calculus_time': 2.317598581314087, 'index_calculus_mem_mb': 0.6401252746582031}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1894214684, 'order': 2703258600, 'index_calculus_result': 2214423233, 'index_calculus_time': 2.2201457023620605, 'index_calculus_mem_mb': 0.6409454345703125}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2160638751, 'order': 2703258600, 'index_calculus_result': 2029150707, 'index_calculus_time': 2.7495758533477783, 'index_calculus_mem_mb': 0.645263671875}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2422833271, 'order': 2703258600, 'index_calculus_result': 2345094698, 'index_calculus_time': 2.621238946914673, 'index_calculus_mem_mb': 0.6429252624511719}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 26732408, 'order': 2703258600, 'index_calculus_result': 256883556, 'index_calculus_time': 2.730506420135498, 'index_calculus_mem_mb': 0.6556243896484375}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 30349383276, 'order': 33496983728, 'index_calculus_result': 26728298135, 'index_calculus_time': 5.552251577377319, 'index_calculus_mem_mb': 0.6810340881347656}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 852427156, 'order': 33496983728, 'index_calculus_result': 21530338566, 'index_calculus_time': 5.094752073287964, 'index_calculus_mem_mb': 0.6813583374023438}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 42062380241, 'order': 33496983728, 'index_calculus_result': 4926795871, 'index_calculus_time': 5.146888732910156, 'index_calculus_mem_mb': 0.6892547607421875}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 52610020023, 'order': 33496983728, 'index_calculus_result': 27404785033, 'index_calculus_time': 5.550531387329102, 'index_calculus_mem_mb': 0.6993446350097656}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 57212518718, 'order': 33496983728, 'index_calculus_result': 20345707606, 'index_calculus_time': 6.1800007820129395, 'index_calculus_mem_mb': 0.7374610900878906}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 49214219717, 'order': 33496983728, 'index_calculus_result': 4437462417, 'index_calculus_time': 5.46371865272522, 'index_calculus_mem_mb': 0.6957931518554688}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 32373334469, 'order': 33496983728, 'index_calculus_result': 22441438714, 'index_calculus_time': 4.863860607147217, 'index_calculus_mem_mb': 0.6868553161621094}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 20997403006, 'order': 33496983728, 'index_calculus_result': 20211715243, 'index_calculus_time': 5.7602880001068115, 'index_calculus_mem_mb': 0.717498779296875}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 11769166298, 'order': 33496983728, 'index_calculus_result': 32823454243, 'index_calculus_time': 5.375856161117554, 'index_calculus_mem_mb': 0.6801834106445312}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 30609897741, 'order': 33496983728, 'index_calculus_result': 20311300139, 'index_calculus_time': 5.295301198959351, 'index_calculus_mem_mb': 0.6974296569824219}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 18554915360, 'order': 33496983728, 'index_calculus_result': 1428578291, 'index_calculus_time': 5.357025384902954, 'index_calculus_mem_mb': 0.7082595825195312}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 65891085647, 'order': 33496983728, 'index_calculus_result': 245251487, 'index_calculus_time': 5.910325050354004, 'index_calculus_mem_mb': 0.718963623046875}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 59560979674, 'order': 33496983728, 'index_calculus_result': 3240783417, 'index_calculus_time': 6.176656723022461, 'index_calculus_mem_mb': 0.7156600952148438}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 53888383836, 'order': 33496983728, 'index_calculus_result': 15048993377, 'index_calculus_time': 5.148102045059204, 'index_calculus_mem_mb': 0.7132835388183594}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 59628654350, 'order': 33496983728, 'index_calculus_result': 25986833939, 'index_calculus_time': 4.941512584686279, 'index_calculus_mem_mb': 0.6827468872070312}
