{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 275121446, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00017499923706054688, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 908227114, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00015234947204589844, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 67719384, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00015687942504882812, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1284545571, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00024819374084472656, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 145601188, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00015878677368164062, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1325264040, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00016355514526367188, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1978945742, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001659393310546875, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 160195986, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00015592575073242188, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2233208926, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001590251922607422, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1610383746, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00019049644470214844, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 825854106, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001747608184814453, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2308291365, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00021600723266601562, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1475950512, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001659393310546875, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2461847262, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00016188621520996094, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2428265924, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001633167266845703, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1081944536, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0003898143768310547, 'baby_mem_mb': 0.0013895034790039062}
