{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1897406873, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.13497233390808105, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 318981655, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.8380756378173828, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1168307071, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.12099981307983398, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1218285964, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.4779281616210938, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1034037786, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.8615140914916992, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 146970801, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.37219786643981934, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2477926049, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.24866294860839844, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1028735461, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.951998233795166, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2656939438, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.0561282634735107, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 961518652, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.6383929252624512, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1897406873, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.1149148941040039, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 318981655, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.7205319404602051, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1168307071, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.10199975967407227, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1135767220, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.9277589321136475, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2262636539, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.8579998016357422, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2044006605, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.9650022983551025, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1374225481, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.6070079803466797, 'pollard_rho_mem_mb': 0.000614166259765625}
